iter	Passed	Remaining
531	24858	13036
532	24902	12988
533	24944	12939
534	24993	12893
535	25040	12847
536	25090	12802
537	25143	12758
538	25186	12709
539	25235	12664
540	25285	12619
541	25335	12574
542	25382	12527
543	25426	12479
544	25475	12434
545	25520	12386
546	25567	12339
547	25618	12295
548	25674	12252
549	25718	12204
550	25770	12160
551	25818	12114
552	25867	12068
553	25913	12021
554	25961	11974
555	26003	11926
556	26053	11880
557	26100	11833
558	26148	11787
559	26193	11740
560	26243	11694
561	26290	11648
562	26340	11603
563	26385	11555
564	26433	11509
565	26478	11461
566	26524	11414
567	26570	11367
568	26617	11320
569	26665	11274
570	26711	11227
571	26756	11179
572	26803	11133
573	26850	11086
574	26893	11038
575	26939	10991
576	26987	10944
577	27038	10899
578	27083	10852
579	27136	10807
580	27186	10762
581	27231	10714
582	27281	10669
583	27327	10622
584	27374	10575
585	27425	10530
586	27471	10483
587	27519	10436
588	27566	10390
589	27610	10342
590	27657	10295
591	27702	10247
592	27750	10201
593	27796	10154
594	27840	10106
595	27888	10060
596	27931	10012
597	27974	9964
598	28021	9917
599	28063	9868
600	28106	9821
601	28149	9772
602	28190	9723
603	28234	9676
604	28281	9629
605	28325	9582
606	28370	9534
607	28419	9488
608	28465	9441
609	28515	9396
610	28562	9349
611	28610	9303
612	28656	9255
613	28699	9208
614	28745	9161
615	28789	9113
616	28829	9064
617	28876	9018
618	28926	8972
619	28975	8926
620	29019	8878
621	29067	8832
622	29113	8785
623	29158	8738
624	29204	8691
625	29248	8643
626	29300	8598
627	29394	8565
628	29434	8516
629	29481	8470
630	29529	8423
631	29576	8376
632	29619	8328
633	29663	8281
634	29703	8232
635	29748	8185
636	29798	8139
637	29847	8093
638	29894	8046
639	29940	7999
640	29984	7952
641	30026	7904
642	30070	7856
643	30118	7810
644	30168	7764
645	30209	7716
646	30254	7668
647	30302	7622
648	30351	7576
649	30394	7528
650	30439	7481
651	30484	7434
652	30529	7386
653	30571	7338
654	30621	7293
655	30666	7245
656	30713	7199
657	30757	7151
658	30801	7104
659	30844	7056
660	30889	7009
661	30931	6961
662	30978	6915
663	31026	6868
664	31074	6822
665	31117	6774
666	31163	6727
667	31207	6680
668	31255	6634
669	31303	6587
670	31347	6540
671	31390	6492
672	31438	6446
673	31482	6399
674	31525	6351
675	31571	6305
676	31618	6258
677	31665	6211
678	31711	6164
679	31753	6117
680	31801	6070
681	31848	6024
682	31893	5977
683	31936	5929
684	31982	5882
